BUS	TIMEPOINT	bus_demand_mw	bus_demand_mvar
9	6	129.5	26.64
9	7	150.5	30.96
9	8	166.25	34.2
9	9	168	34.56
9	10	168	34.56
9	11	166.25	34.2
9	12	166.25	34.2
9	13	166.25	34.2
9	14	162.75	33.48
9	15	164.5	33.84
9	16	173.25	35.64
9	17	175	36
9	18	175	36
9	19	168	34.56
9	20	159.25	32.76
9	21	145.25	29.88
9	22	127.75	26.28
9	23	110.25	22.68
10	0	130.65	26.8
10	1	122.85	25.2
10	2	117	24
10	3	115.05	23.6
10	4	115.05	23.6
10	5	117	24
10	6	144.3	29.6
10	7	167.7	34.4
10	8	185.25	38
10	9	187.2	38.4
10	10	187.2	38.4
10	11	185.25	38
10	12	185.25	38
10	13	185.25	38
10	14	181.35	37.2
10	15	183.3	37.6
10	16	193.05	39.6
10	17	195	40
10	18	195	40
10	19	187.2	38.4
10	20	177.45	36.4
10	21	161.85	33.2
10	22	142.35	29.2
10	23	122.85	25.2
13	0	177.55	36.18
13	1	166.95	34.02
13	2	159	32.4
13	3	156.35	31.86
13	4	156.35	31.86
13	5	159	32.4
13	6	196.1	39.96
13	7	227.9	46.44
13	8	251.75	51.3
13	9	254.4	51.84
13	10	254.4	51.84
13	11	251.75	51.3
13	12	251.75	51.3
13	13	251.75	51.3
13	14	246.45	50.22
13	15	249.1	50.76
13	16	262.35	53.46
13	17	265	54
13	18	265	54
13	19	254.4	51.84
13	20	241.15	49.14
13	21	219.95	44.82
13	22	193.45	39.42
13	23	166.95	34.02
14	0	129.98	26.13
14	1	122.22	24.57
14	2	116.4	23.4
14	3	114.46	23.01
14	4	114.46	23.01
14	5	116.4	23.4
14	6	143.56	28.86
14	7	166.84	33.54
14	8	184.3	37.05
14	9	186.24	37.44
14	10	186.24	37.44
14	11	184.3	37.05
14	12	184.3	37.05
14	13	184.3	37.05
14	14	180.42	36.27
14	15	182.36	36.66
14	16	192.06	38.61
14	17	194	39
14	18	194	39
14	19	186.24	37.44
14	20	176.54	35.49
14	21	161.02	32.37
14	22	141.62	28.47
14	23	122.22	24.57
15	0	212.39	42.88
15	1	199.71	40.32
15	2	190.2	38.4
15	3	187.03	37.76
15	4	187.03	37.76
15	5	190.2	38.4
15	6	234.58	47.36
15	7	272.62	55.04
15	8	301.15	60.8
15	9	304.32	61.44
15	10	304.32	61.44
15	11	301.15	60.8
15	12	301.15	60.8
15	13	301.15	60.8
15	14	294.81	59.52
15	15	297.98	60.16
15	16	313.83	63.36
15	17	317	64
15	18	317	64
15	19	304.32	61.44
15	20	288.47	58.24
15	21	263.11	53.12
15	22	231.41	46.72
15	23	199.71	40.32
16	0	67	13.4
16	1	63	12.6
16	2	60	12
16	3	59	11.8
16	4	59	11.8
16	5	60	12
16	6	74	14.8
16	7	86	17.2
16	8	95	19
16	9	96	19.2
16	10	96	19.2
16	11	95	19
16	12	95	19
16	13	95	19
16	14	93	18.6
16	15	94	18.8
16	16	99	19.8
16	17	100	20
16	18	100	20
16	19	96	19.2
16	20	91	18.2
16	21	83	16.6
16	22	73	14.6
16	23	63	12.6
18	0	223.11	45.56
18	1	209.79	42.84
18	2	199.8	40.8
18	3	196.47	40.12
18	4	196.47	40.12
18	5	199.8	40.8
18	6	246.42	50.32
18	7	286.38	58.48
18	8	316.35	64.6
18	9	319.68	65.28
18	10	319.68	65.28
18	11	316.35	64.6
18	12	316.35	64.6
18	13	316.35	64.6
18	14	309.69	63.24
18	15	313.02	63.92
18	16	329.67	67.32
18	17	333	68
18	18	333	68
18	19	319.68	65.28
18	20	303.03	61.88
18	21	276.39	56.44
18	22	243.09	49.64
18	23	209.79	42.84
19	0	121.27	24.79
19	1	114.03	23.31
19	2	108.6	22.2
19	3	106.79	21.83
19	4	106.79	21.83
19	5	108.6	22.2
19	6	133.94	27.38
19	7	155.66	31.82
19	8	171.95	35.15
19	9	173.76	35.52
19	10	173.76	35.52
19	11	171.95	35.15
19	12	171.95	35.15
19	13	171.95	35.15
19	14	168.33	34.41
19	15	170.14	34.78
19	16	179.19	36.63
19	17	181	37
19	18	181	37
19	19	173.76	35.52
19	20	164.71	33.67
19	21	150.23	30.71
19	22	132.13	27.01
19	23	114.03	23.31
20	0	85.76	17.42
20	1	80.64	16.38
20	2	76.8	15.6
20	3	75.52	15.34
20	4	75.52	15.34
20	5	76.8	15.6
20	6	94.72	19.24
20	7	110.08	22.36
20	8	121.6	24.7
20	9	122.88	24.96
20	10	122.88	24.96
20	11	121.6	24.7
20	12	121.6	24.7
20	13	121.6	24.7
20	14	119.04	24.18
20	15	120.32	24.44
20	16	126.72	25.74
20	17	128	26
20	18	128	26
20	19	122.88	24.96
20	20	116.48	23.66
20	21	106.24	21.58
20	22	93.44	18.98
20	23	80.64	16.38
